Sample_ID,Date,Site,Volume_Filtered_mL,Replicates,Volume_Eluted_uL,Total_Cyano_Rep,Total_Cyano_Copies_Rxn,Total_Cyano_Y_intercept,Total_Cyano_Slope,Total_Cyano_Efficiency,Total_Cyano_R_squared,Total_Cyano_Quality_checks,Total_Cyano_Source_file,mcyE_Rep,mcyE_Copies_Rxn,mcyE_Y_intercept,mcyE_Slope,mcyE_Efficiency,mcyE_R_squared,mcyE_Quality_checks,mcyE_Source_file,sxtA_Rep,sxtA_Copies_Rxn,sxtA_Y_intercept,sxtA_Slope,sxtA_Efficiency,sxtA_R_squared,sxtA_Quality_checks,sxtA_Source_file,Station_Depth_m,Sample_Depth_m,Sample_Depth_category,Local_Time_Eastern_Time_Zone,Latitude_decimal_deg,Longitude_decimal_deg,Wind_speed_knots,Wave_Height_ft,Sky,Secchi_Depth_m,Sample_Temperature_C,CTD_Temperature_C,CTD_Specific_Conductivity_uS_cm,CTD_Beam_Attenuation_m1,CTD_Tramission_,CTD_Dissolved_Oxygen_mg_L,CTD_Photosynthetically_Active_Radiation_uE_m2_s,Turbidity_NTU,Particulate_Microcystin_ug_L,Dissolved_Microcystin_ug_L,Extracted_Phycocyanin_ug_L,Extracted_Chlorophyll_a_ug_L,Total_Phosphorus_ug_P_L,Total_Dissolved_Phosphorus_ug_P_L,Soluble_Reactive_Phosphorus_ug_P_L,Ammonia_ug_N_L,Nitrate_+_Nitrite_mg_N_L,Urea_ug_N_L,Particulate_Organic_Carbon_mg_L,Particulate_Organic_Nitrogen_mg_L,Dissolved_Organic_Carbon_mg_L,Colored_Dissolved_Organic_Material_absorbance_m1_at_400nm,Total_Suspended_Solids_mg_L,Volatile_Suspended_Solids_mg_L,Year,Month,Day,DOY,Total_Cyano_Copies_mL,mcyE_Copies_mL,mcyE_Copies_mL_BDL_Replaced,sxtA_Copies_mL,sxtA_Copies_mL_BDL_Replaced,Particulate_Microcystin_ug_L_BDL_Replaced,Particulate_Microcystin_ug_L_BDL_Replaced_plusoneweek,Particulate_Microcystin_ug_L_BDL_Replaced_plusoneweek_days,Particulate_Microcystin_ug_L_BDL_Replaced_plustwoweeks,Particulate_Microcystin_ug_L_BDL_Replaced_plustwoweeks_days
NA,2015-06-22T00:00:00,WE2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.68,0.75,Surface,9:10,41.7652,-83.3288,nd,0.18,sunny,0.2,NA,23.3,329,12.5,4.4,5.61,73,35.2,<0.1,<0.1,0.22,3.84,207.42,159.11,104.67,51.95,5.09,NA,0.83,0.12,8.28,11.9,25.53,1.74,2015,6,22,173,NA,NA,NA,NA,NA,0.1,,,,
NA,2015-10-14T00:00:00,WE2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15,0.75,Surface,8:56,41.7648,-83.3316,2.21,1.32,cloudy,1.4,NA,15.2,232,3.8,39.1,8.71,84,4.57,0.12,<0.1,0.27,3.79,25.46,13.71,10.3,16.88,0.297,NA,0.37,0.06,2.52,0.23,5.68,0.2,2015,10,14,287,NA,NA,NA,NA,NA,0.12,0.22,5,,
NA,2015-10-19T00:00:00,WE2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36,0.75,Surface,8:28,41.765,-83.33,3.68,1.88,sunny,0.7,NA,12.1,221.2,8.4,15.5,8.86,83,7.48,0.22,<0.1,0.43,9.1,60.18,6.41,2.48,2.28,0.27,NA,0.63,0.1,1.98,0.29,12.13,1.73,2015,10,19,292,NA,NA,NA,NA,NA,0.22,,,,
76,2016-05-31T00:00:00,WE2,20,1,60,1,37537.914,36.327,-3.185,106.054,0.999,Good,2016_cyano.XLSX,1,12.417,37.708,-3.42,96.068,0.997,BQ,2016_mcyE.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,5.3,0.75,Surface,9:01,41.7639,-83.3296,8.8,0.35,sunny,4.5,NA,20.8,349.1,0.8,82.2,6.93,978,0.9,<0.1,<0.1,0.35,1.71,20.3,6.5,0.6,16.6,1.632,8.72,0.22,0.04,3.61,1.04,1.07,0.33,2016,5,31,152,45045.4968,BQL< 60.,60,NA,NA,0.1,,,,
77,2016-06-13T00:00:00,WE2,100,1,60,1,276377.06,36.327,-3.185,106.054,0.999,Good,2016_cyano.XLSX,1,BD,37.708,-3.42,96.068,0.997,BD,2016_mcyE.xlsx,1,BD,35.413,-3.389,97.279,0.997,BD,2016_mcyE.xlsx,5.5,0.75,Surface,8:42,41.7633,-83.328,10.49,1.55,sunny,0.8,NA,21.1,263.3,4.6,31.4,7.94,875,5.37,<0.1,<0.1,0.65,8.17,76.7,6.9,1.4,17.9,0.469,8.96,0.4,0.05,2.3,0.37,2.02,0.2,2016,6,13,165,66330.4944,BDL< 0.24,0.24,BDL< 0.24,0.24,0.1,,,,
78,2016-06-27T00:00:00,WE2,200,1,60,1,336748.34,36.327,-3.185,106.054,0.999,Good,2016_cyano.XLSX,1,5.402,37.708,-3.42,96.068,0.997,BQ,2016_mcyE.xlsx,1,4.593,35.413,-3.389,97.279,0.997,BQ,2016_mcyE.xlsx,5.75,0.75,Surface,8:36,41.8249,-83.4028,8.72,0.82,sunny,1,NA,23.7,315.1,2.4,54.6,6.44,116,4.42,<0.1,<0.1,0.12,4.03,62.6,14.9,6.4,68.7,0.731,10.98,0.44,0.09,2.83,0.82,5.54,0.26,2016,6,27,179,40409.8008,BQL< 6.,6,BQL< 6.,6,0.1,0.1,8,0.14,14
79,2016-07-05T00:00:00,WE2,250,1,60,1,294812.8,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,11.029,35.902,-3.22,104.441,0.996,BQ,2015-2016-redo_mcyE.xlsx,1,BD,36,-3.241,103.478,0.998,BD,2015-2016-redo_mcyE.xlsx,5.42,0.75,Surface,8:38,41.9336,-83.5683,6.91,0.5,cloudy,1.5,NA,23.1,281.1,2.1,59.9,9.2,176,3.9,<0.1,<0.1,0.14,4.13,40.5,8.6,2.1,34.7,0.434,7.23,0.4,0.08,2.67,0.46,4.28,0.4,2016,7,5,187,28302.0288,BQL< 4.8,4.8,BDL< 0.096,0.096,0.1,0.14,6,2.53,13
80,2016-07-11T00:00:00,WE2,200,1,60,1,252263.78,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,507.603,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,BD,36,-3.241,103.478,0.998,BD,2015-2016-redo_mcyE.xlsx,5.33,0.75,Surface,8:27,NA,NA,8.43,0.98,partly cloudy,2,NA,24.4,305.1,1.7,65,8.96,219,3.1,0.14,<0.1,0.45,4.14,45.7,8.8,1,37.8,0.474,2.94,0.46,0.09,2.67,0.59,5.07,0.97,2016,7,11,193,30271.6536,60.91236,60.91236,BDL< 0.12,0.12,0.14,2.53,7,1.36,14
81,2016-07-18T00:00:00,WE2,125,1,60,1,3.25E+06,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,1480.843,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,BD,36,-3.241,103.478,0.998,BD,2015-2016-redo_mcyE.xlsx,5.31,0.75,Surface,8:17,41.7628,-83.3321,11.34,1.18,cloudy,0.5,NA,24.8,396.8,4.4,33.6,8.1,141,6.67,2.53,0.55,7.31,60.59,78,9.7,1.3,11.5,2.154,5.44,2.27,0.36,4.77,1.64,15.27,4.51,2016,7,18,200,623141.28,284.321856,284.321856,BDL< 0.192,0.192,2.53,1.36,7,4.03,14
82,2016-07-25T00:00:00,WE2,125,1,60,1,722921,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,2182.692,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,41.972,36,-3.241,103.478,0.998,BQ,2015-2016-redo_mcyE.xlsx,5.25,0.75,Surface,8:31,41.7635,-83.3324,14.07,1.43,cloudy,0.8,NA,25.9,272.5,3.4,43.2,8.13,110,7.06,1.36,0.27,4.88,19.67,49,4.8,0.6,23.4,0.443,3.08,1.34,0.22,2.59,0.55,8.57,2.14,2016,7,25,207,138800.832,419.076864,419.076864,BQL< 9.6,9.6,1.36,4.03,7,3.02,15
83,2016-08-01T00:00:00,WE2,75,1,60,1,281601.75,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,54453.078,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,111.374,36,-3.241,103.478,0.998,Good,2015-2016-redo_mcyE.xlsx,5.45,0.75,Surface,8:25,41.7649,-83.3301,8.01,0.67,sunny,0.8,NA,26.1,287.6,3.3,43.4,6.46,540,6.62,4.03,0.33,4.2,22.69,71,7.7,0.7,9.3,0.228,3.46,2.16,0.39,3.29,0.61,8.68,3.09,2016,8,1,214,90112.56,17424.98496,17424.98496,35.63968,35.63968,4.03,3.02,8,0.74,14
84,2016-08-09T00:00:00,WE2,50,1,60,1,129316.32,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,110.766,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,3.568,36,-3.241,103.478,0.998,BQ,2015-2016-redo_mcyE.xlsx,5.27,0.75,Surface,8:19,41.7621,-83.3305,9.42,1.07,sunny,0.3,NA,26,275.7,7.4,15.8,7.32,206,15.4,3.02,0.21,4.2,39.07,73.6,5.2,1,12.3,0.051,2.49,3.02,0.49,3.48,0.68,13.84,4.17,2016,8,9,222,62071.8336,53.16768,53.16768,BQL< 24.,24,3.02,0.74,6,0.91,13
85,2016-08-15T00:00:00,WE2,80,1,60,1,511596.66,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,626.51,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,39.638,36,-3.241,103.478,0.998,BQ,2015-2016-redo_mcyE.xlsx,5.52,0.75,Surface,8:35,NA,NA,5.65,0.43,cloudy,0.2,NA,26.4,259.1,4.5,32.1,7.87,135,7.3,0.74,0.14,2.24,19.64,69.4,5.9,3.1,13.8,<0.002,1.91,1.19,0.2,2.67,0.5,7.67,1.41,2016,8,15,228,153478.998,187.953,187.953,BQL< 15.,15,0.74,0.91,7,0.13,14
86,2016-08-22T00:00:00,WE2,50,1,60,1,327788.34,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,285.476,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,12.414,36,-3.241,103.478,0.998,BQ,2015-2016-redo_mcyE.xlsx,5.31,0.75,Surface,9:22,41.7646,-83.332,3.56,1.1,sunny,0.5,NA,24.8,261.8,8.1,13.3,6.89,361,16.7,0.91,0.11,3.35,27.32,133.7,4.9,2.1,5.8,<0.002,3.61,1.96,0.31,3.05,0.6,15.93,1.95,2016,8,22,235,157338.4032,137.02848,137.02848,BQL< 24.,24,0.91,0.13,7,0.1,15
87,2016-08-29T00:00:00,WE2,75,1,60,1,233423.4,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,134.053,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,BD,36,-3.241,103.478,0.998,BD,2015-2016-redo_mcyE.xlsx,5.51,0.75,Surface,8:20,41.7642,-83.3297,11.91,2.12,sunny,0.5,NA,25,253.2,7,17.2,8.11,164,14.6,0.13,0.13,0.67,11.47,54.7,21.3,12.1,22.5,<0.002,6.88,1.23,0.17,3.11,0.56,16.4,0.77,2016,8,29,242,74695.488,42.89696,42.89696,BDL< 0.32,0.32,0.13,0.1,8,0.37,14
88,2016-09-06T00:00:00,WE2,50,1,60,1,59356.492,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,84.082,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,BD,36,-3.241,103.478,0.998,BD,2015-2016-redo_mcyE.xlsx,5.33,0.75,Surface,8:23,41.7626,-83.3311,9.13,0.75,clear,0.3,NA,23.6,268,12.8,4.1,7.84,40,26,<0.1,0.12,0.43,8.05,62.4,16.9,20.4,52.4,0.073,10.37,1.25,0.26,3.36,0.83,25.55,1.21,2016,9,6,250,28491.11616,40.35936,40.35936,BDL< 0.48,0.48,0.1,0.37,6,0.21,13
89,2016-09-12T00:00:00,WE2,50,1,60,1,224757.5,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,105.282,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,8.476,36,-3.241,103.478,0.998,BQ,2015-2016-redo_mcyE.xlsx,5.46,0.75,Surface,8:25,41.7632,-83.3315,8.84,0.91,sunny,0.3,NA,23.2,279.9,10.6,7,6.84,179,19.7,0.37,0.13,0.71,22.16,87.2,27.2,15.9,39,0.048,8.24,1.44,0.3,3.06,0.68,22.4,0.35,2016,9,12,256,107883.6,50.53536,50.53536,BQL< 24.,24,0.37,0.21,7,0.1,16
90,2016-09-19T00:00:00,WE2,75,1,60,1,139318.52,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,20.767,35.902,-3.22,104.441,0.996,BQ,2015-2016-redo_mcyE.xlsx,1,BD,36,-3.241,103.478,0.998,BD,2015-2016-redo_mcyE.xlsx,5.11,0.75,Surface,8:27,41.7628,-83.3314,5.89,0.73,sunny,0.5,NA,22.2,271.1,8.7,11.4,8.35,83,16.5,0.21,0.13,0.31,5.52,65.9,26.5,16.8,36.6,0.057,7.76,0.82,0.16,2.74,0.48,31.93,0.48,2016,9,19,263,44581.9264,BQL< 16.,16,BDL< 0.32,0.32,0.21,0.1,9,0.37,14
91,2016-09-28T00:00:00,WE2,100,1,60,1,116850.16,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,BD,35.902,-3.22,104.441,0.996,BD,2015-2016-redo_mcyE.xlsx,1,BD,36,-3.241,103.478,0.998,BD,2015-2016-redo_mcyE.xlsx,4.93,0.75,Surface,8:21,41.762,-83.3314,12.64,1.56,cloudy/rain,0.8,NA,19.7,269.6,4.3,33.9,8.05,5,9.02,0.1,0.16,0.09,3.93,45.6,16.4,9.2,32.7,0.011,19.03,0.53,0.09,2.78,0.45,8.8,NA,2016,9,28,272,28044.0384,BDL< 0.24,0.24,BDL< 0.24,0.24,0.1,0.37,5,0.16,13
92,2016-10-03T00:00:00,WE2,45,1,60,1,27430.434,36.611,-3.253,102.972,0.997,Good,2017_plate1_cyano,1,22.43889046,36.98049927,-3.454299927,94.75753021,0.994599998,BQ,2017_plate1_mcyE,NA,NA,NA,NA,NA,NA,NA,NA,5.31,0.75,Surface,8:22,41.7638,-83.3306,3.28,0.4,foggy,0.5,NA,18.3,289.2,12.9,3.9,8.2,28,22.8,0.37,0.22,0.05,3.91,75.9,25.6,15.1,36.6,0.079,9.52,1.01,0.17,2.97,0.48,18.07,0.95,2016,10,3,277,14629.5648,BQL< 26.6667,26.66666667,NA,NA,0.37,0.16,8,0.1,14
921,2016-10-11T00:00:00,WE2,70,1,60,1,49953.25,36.611,-3.253,102.972,0.997,Good,2017_plate1_cyano,1,10.84841919,36.98049927,-3.454299927,94.75753021,0.994599998,BQ,2017_plate1_mcyE,1,BD,36.12149811,-3.262300014,102.5499802,0.996900022,BD,2017_plate1_mcyE,5.31,0.75,Surface,8:25,41.7625,-83.3302,15-Oct,1.28,cloudy,0.5,NA,16.8,310.4,10.4,7.4,8.87,66,19.9,0.16,0.18,0.41,7.69,77.4,30.5,18.5,24,0.228,7.01,1.12,0.18,3.12,0.66,21,1.61,2016,10,11,285,17126.82857,BQL< 17.1429,17.14285714,BDL< 0.342857,0.342857143,0.16,0.1,6,,
NA,2016-10-17T00:00:00,WE2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,0.75,Surface,8:50,41.7626,-83.3318,14,1.3,mostly sunny,0.8,NA,16.5,307.1,5.4,25.7,8.29,145,10.9,<0.1,0.15,0.24,5.2,57.6,29.2,14.2,13.3,0.111,4.99,0.6,0.11,3.1,0.7,11.2,0.51,2016,10,17,291,NA,NA,NA,NA,NA,0.1,,,,
174,2017-07-05T00:00:00,WE2,60,1,60,1,357893.813,36.983,-3.326,99.81,0.997,Good,2017_plate2 cyano,1,3.565,35.801,-3.397,96.979,0.988,BQ,2017_Plate2_mcyE.xlsx,1,BD,36.014,-3.262,102.563,0.998,BD,2017_Plate2_mcyE.xlsx,5.91,0.75,Surface,13:13,41.7632,-83.328,5.2,1.2,sunny,0.2,NA,24.2,225.9,12.9,4,5.46,659,27.1,<0.1,<0.1,0.35,16.6,127.76,50.16,37.38,66.03,4.276,28.7,1.52,0.27,4.98,3.004,23.6,3.1,2017,7,5,186,143157.5252,BQL< 20.,20,BDL< 0.4,0.4,0.1,0.95,6,0.1,12
175,2017-07-11T00:00:00,WE2,200,1,60,1,554257.438,36.983,-3.326,99.81,0.997,Good,2017_plate2 cyano,1,19523.461,35.801,-3.397,96.979,0.988,Good,2017_Plate2_mcyE.xlsx,1,BD,36.014,-3.262,102.563,0.998,BD,2017_Plate2_mcyE.xlsx,5.75,0.75,Surface,13:13,41.7623,-83.3298,1.84,0.33,cloudy,NA,NA,25.4,335.3,1.5,68.2,6.22,770,2.66,0.95,<0.1,6.26,9.17,125.83,28.07,17.52,79.53,2.603,24.49,1.92,0.35,4,2.031,4.13,2.04,2017,7,11,192,66510.89256,2342.81532,2342.81532,BDL< 0.12,0.12,0.95,0.1,6,0.56,13
176,2017-07-17T00:00:00,WE2,125,1,60,1,484163.094,36.983,-3.326,99.81,0.997,Good,2017_plate2 cyano,1,7.837,35.801,-3.397,96.979,0.988,BQ,2017_Plate2_mcyE.xlsx,1,22.081,36.014,-3.262,102.563,0.998,BQ,2017_Plate2_mcyE.xlsx,5.75,0.75,Surface,13:02,41.763,-83.3288,5.49,0.78,sunny,0.2,NA,26.1,310.8,12,4.9,7.03,354,25.7,<0.1,<0.1,0.46,19.79,182.05,78.14,64.26,353.38,4.753,25.96,1.26,0.22,4.02,4.383,21.28,1.62,2017,7,17,198,92959.31405,BQL< 9.6,9.6,BQL< 9.6,9.6,0.1,0.56,7,1.8,14
177,2017-07-24T00:00:00,WE2,200,1,60,1,2.18E+06,36.983,-3.326,99.81,0.997,Good,2017_plate2 cyano,1,7779.314,35.801,-3.397,96.979,0.988,Good,2017_Plate2_mcyE.xlsx,1,13.999,36.014,-3.262,102.563,0.998,BQ,2017_Plate2_mcyE.xlsx,5.47,0.75,Surface,12:23,41.7651,-83.3308,11.9,1.7,cloudy,1.5,NA,25.4,283.8,3,48.4,7.32,345,4.56,0.56,0.1,3.85,37.57,62.39,22.25,14.89,15.24,2.381,15.23,1.14,0.23,4.02,2.162,4.32,0.94,2017,7,24,205,261195.06,933.51768,933.51768,BQL< 6.,6,0.56,1.8,7,6.53,14
178,2017-07-31T00:00:00,WE2,50,1,60,1,141365.891,36.983,-3.326,99.81,0.997,Good,2017_plate2 cyano,1,147.185,35.801,-3.397,96.979,0.988,Good,2017_Plate2_mcyE.xlsx,1,0.566,36.014,-3.262,102.563,0.998,BQ,2017_Plate2_mcyE.xlsx,5.74,0.75,Surface,14:11,41.7615,-83.3305,3.24,0.55,sunny,0.8,NA,26.1,263.1,5.4,25.6,6.88,1200,9.81,1.8,<0.1,8.31,20.09,40.96,5.02,2.11,42.48,0.928,10.16,1.6,0.36,3.57,0.833,10,3.37,2017,7,31,212,67855.62768,70.6488,70.6488,BQL< 24.,24,1.8,6.53,7,4,14
179,2017-08-07T00:00:00,WE2,100,1,60,1,822246.313,36.983,-3.326,99.81,0.997,Good,2017_plate2 cyano,1,17854.479,35.801,-3.397,96.979,0.988,Good,2017_Plate2_mcyE.xlsx,1,BD,36.014,-3.262,102.563,0.998,BD,2017_Plate2_mcyE.xlsx,5.69,0.75,Surface,13:19,41.7633,-83.3303,3.16,0.46,sunny,1.3,NA,23.9,263.4,2.1,59.2,5.74,1171,6.03,6.53,0.19,11.26,21.52,44.87,7.65,3.38,49.39,1.013,10.15,1.63,0.25,3.19,1.071,5.36,1.66,2017,8,7,219,197339.1151,4285.07496,4285.07496,BDL< 0.24,0.24,6.53,4,7,6.84,14
180,2017-08-14T00:00:00,WE2,100,1,60,1,530286.75,36.983,-3.326,99.81,0.997,Good,2017_plate2 cyano,1,5560.876,35.801,-3.397,96.979,0.988,Good,2017_Plate2_mcyE.xlsx,1,BD,36.014,-3.262,102.563,0.998,BD,2017_Plate2_mcyE.xlsx,5.63,0.75,Surface,13:13,41.7626,-83.329,8.03,0.57,sunny,1.5,NA,25.4,259.7,1.8,64.3,8.1,1267,5.63,4,0.14,23.17,27.06,34.79,5.92,1.56,17.1,0.59,4.36,2.23,0.39,2.91,0.854,5.52,4.1,2017,8,14,226,127268.82,1334.61024,1334.61024,BDL< 0.24,0.24,4,6.84,7,8.5,14
181,2017-08-21T00:00:00,WE2,10,1,60,1,115164.391,36.983,-3.326,99.81,0.997,Good,2017_plate2 cyano,1,1129.986,35.801,-3.397,96.979,0.988,Good,2017_Plate2_mcyE.xlsx,1,BD,36.014,-3.262,102.563,0.998,BD,2017_Plate2_mcyE.xlsx,5.68,0.75,Surface,13:13,41.7624,-83.3295,5.74,0.4,partly cloudy,0.3,NA,26.4,251.8,3.8,38.9,12.5,712,12.3,6.84,0.29,61.07,111.87,52.2,7.19,1.44,6.18,0.425,4.1,7.23,1.1,3.71,1.343,17.9,10.06,2017,8,21,233,276394.5384,2711.9664,2711.9664,BDL< 2.4,2.4,6.84,8.5,7,3.86,15
182,2017-08-28T00:00:00,WE2,10,1,60,1,234620.234,36.983,-3.326,99.81,0.997,Good,2017_plate2 cyano,1,1650.314,35.801,-3.397,96.979,0.988,Good,2017_Plate2_mcyE.xlsx,1,BD,36.014,-3.262,102.563,0.998,BD,2017_Plate2_mcyE.xlsx,5.52,0.75,Surface,13:31,41.764,-83.3296,2.69,0.58,partly sunny,0.7,NA,22.4,190.7,5.7,24.3,6.75,169,15.8,8.5,0.35,31.02,73.33,52.79,6.5,2.24,7.09,0.158,3.23,4.7,0.73,3.29,NA,17,9.18,2017,8,28,240,563088.5616,3960.7536,3960.7536,BDL< 2.4,2.4,8.5,3.86,8,0.62,14
183,2017-09-05T00:00:00,WE2,50,1,60,1,290335.656,36.983,-3.326,99.81,0.997,Good,2017_plate2 cyano,1,3298.847,35.801,-3.397,96.979,0.988,Good,2017_Plate2_mcyE.xlsx,1,5.682,36.014,-3.262,102.563,0.998,BQ,2017_Plate2_mcyE.xlsx,4.93,0.75,Surface,13:25,41.7637,-83.3352,14.41,2,sunny,0.2,NA,20.1,255,21.6,0.4,7.9,75,51.9,3.86,0.23,36.75,46.9,52.91,13.06,12.52,22.63,0.25,7.31,2.95,0.5,2.97,0.987,46.44,9.42,2017,9,5,248,139361.1149,1583.44656,1583.44656,BQL< 24.,24,3.86,0.62,6,0.3,13
184,2017-09-11T00:00:00,WE2,30,1,60,1,1.31E+06,36.983,-3.326,99.81,0.997,Good,2017_plate2 cyano,1,2814.572,35.801,-3.397,96.979,0.988,Good,2017_Plate2_mcyE.xlsx,1,BD,36.014,-3.262,102.563,0.998,BD,2017_Plate2_mcyE.xlsx,5.65,0.75,Surface,13:07,41.7628,-83.3289,5.09,0.53,sunny,0.4,NA,19.4,236.3,7,17.4,8.38,623,11.2,0.62,0.1,22.08,29.32,64.31,5.32,1.87,53.08,0.118,4.19,1.18,0.17,2.09,0.391,25.2,7.36,2017,9,11,254,1.05E+06,2251.6576,2251.6576,BDL< 0.8,0.8,0.62,0.3,7,0.73,14
185,2017-09-18T00:00:00,WE2,50,1,60,1,142192.313,36.983,-3.326,99.81,0.997,Good,2017_plate2 cyano,1,49.11,35.801,-3.397,96.979,0.988,BQ,2017_Plate2_mcyE.xlsx,1,BD,36.014,-3.262,102.563,0.998,BD,2017_Plate2_mcyE.xlsx,5.65,0.75,Surface,13:03,41.7622,-83.3299,1.44,0.17,cloudy,0.5,NA,21.2,248,5.6,24.7,9.12,158,16.7,0.3,0.18,68.73,35.15,44.26,5.28,0.95,22.55,<0.002,7.93,2.9,0.5,NA,0.703,12.25,5.58,2017,9,18,261,68252.31024,BQL< 24.,24,BDL< 0.48,0.48,0.3,0.73,7,0.1,-179
186,2017-09-25T00:00:00,WE2,50,1,60,1,206768.5,36.983,-3.326,99.81,0.997,Good,2017_plate2 cyano,1,93.702,35.801,-3.397,96.979,0.988,Good,2017_Plate2_mcyE.xlsx,1,BD,36.014,-3.262,102.563,0.998,BD,2017_Plate2_mcyE.xlsx,5.6,0.75,Surface,14:03,41.7625,-83.3292,4.08,0.14,sunny,0.9,NA,25.2,233.9,4,36.4,9.56,799,12.3,0.73,0.13,83.29,42.27,53.3,5.29,0.8,25.26,0.003,<0.9,3.7,0.5,2.53,0.722,13.35,7.43,2017,9,25,268,99248.88,44.97696,44.97696,BDL< 0.48,0.48,0.73,0.1,-186,0.1,-153
NA,2017-03-23T00:00:00,WE2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.18,0.75,Surface,11:29,41.7654,-83.332,NA,2.34,mostly sunny,0.5,NA,2.4,855.9,8.1,13.2,11.37,1053,18.7,NA,NA,0.01,1.27,56.02,23.36,11.88,138.16,1.01,<0.9,0.72,0.12,2.44,0.695,16.52,1.02,2017,3,23,82,NA,NA,NA,NA,NA,0.1,,,,
NA,2017-04-25T00:00:00,WE2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.73,0.75,Surface,8:42,41.7628,-83.3272,14,1.18,cloudy,0.3,NA,13.2,450.6,24,0.3,8.43,23,49.3,NA,NA,0.14,4.1,165.04,37.3,24.19,68.43,2.074,18.82,1.64,0.23,3.97,1.936,48.9,7.56,2017,4,25,115,NA,NA,NA,NA,NA,0.1,,,,
NA,2017-05-08T00:00:00,WE2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,0.75,Surface,8:34,41.7643,-83.332,9.91,1.72,clear,0.5,NA,10.8,292.6,7.7,14.7,9.47,350,14.8,NA,NA,0.02,2.02,55.34,17.74,7.74,68,0.739,10.76,1.09,0.19,2.31,0.607,13.7,1.62,2017,5,8,128,NA,NA,NA,NA,NA,0.1,,,,
NA,2017-05-30T00:00:00,WE2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.49,0.75,Surface,13:14,41.761,-83.3338,14,1.3,mostly cloudy,0.3,NA,18.9,398.7,8.9,11.3,6.23,142,22.1,<0.1,<0.1,0.09,2.56,141.91,80.44,65.46,40.24,4.036,24.2,0.58,0.09,5.3,4.148,14.96,0.98,2017,5,30,150,NA,NA,NA,NA,NA,0.1,,,,
